title,platform,Score,release_year
140,PC,8,2013
300,Wireless,8,2007
1942,Game Boy Color,5,2000
1942,Wireless,5,2006
10000000,iPhone,8,2012
.deTuned,PlayStation 3,4,2009
.hack//G.U. Vol. 1: Rebirth,PlayStation 2,5,2007
.hack//G.U. Vol. 2: Reminisce,PlayStation 2,6,2007
.hack//G.U. Vol.3: Redemption,PlayStation 2,6,2007
.hack//INFECTION (Part 1),PlayStation 2,9,2003
.hack//MUTATION (Part 2),PlayStation 2,8,2003
.hack//OUTBREAK (Part 3),PlayStation 2,8,2003
.hack//QUARANTINE (Part 4),PlayStation 2,8,2004
'Splosion Man,Xbox 360,9,2009
#IDARB,Xbox One,8,2015
0 Day: Attack on Earth,Xbox 360,4,2010
0-D Beat Drop,Xbox 360,9,2009
007 Legends,Xbox 360,5,2012
007 Legends,PlayStation 3,5,2012
007 Legends,Wii U,4,2013
007 Racing,PlayStation,5,2000
007: The World is Not Enough,Nintendo 64,9,2000
007: The World is Not Enough,PlayStation,7,2000
007: Tomorrow Never Dies,PlayStation,5,1999
007: Top Agent,iPhone,4,2010
1 vs. 100,Wireless,8,2007
1 vs. 100,Nintendo DS,5,2008
1-bit Ninja,iPhone,8,2011
10-Pin Bowling,Game Boy Color,4,1999
1000 Words,Wireless,8,2005
1000: Find 'Em All,iPhone,7,2010
1001 BlockBusters,Nintendo DSi,7,2011
1001 Crystal Mazes Collection,Nintendo DSi,7,2010
1001 Spikes,Wii U,8,2014
1001 Spikes,PlayStation 4,8,2014
1001 Spikes,PC,8,2014
1001 Spikes,Nintendo 3DS,8,2014
1001 Spikes,PlayStation Vita,8,2014
101 Minigolf World,Nintendo DSi,7,2010
101 Shark Pets,Nintendo DSi,7,2010
101-in-1 Explosive Megamix,Wii,3,2011
102 Dalmatians: Puppies to the Rescue,PlayStation,7,2000
102 Dalmatians: Puppies to the Rescue,Dreamcast,7,2000
102 Dalmatians: Puppies to the Rescue,Game Boy Color,6,2000
1080° Avalanche,GameCube,7,2003
1080° Snowboarding,Nintendo 64,9,1998
1080° Snowboarding,Wii,9,2008
10Six,PC,6,2000
1112: Episode 01,iPhone,4,2008
1503 A.D. The New World,PC,7,2003
16 Shot!  Shooting Watch,Nintendo DSi,5,2010
1602 A.D.,PC,8,2000
1701 A.D.,PC,8,2006
1701 A.D. (Gold Edition),PC,8,2008
18-Wheeler American Pro Trucker,Dreamcast,8,2001
18-Wheeler American Pro Trucker,GameCube,5,2002
18-Wheeler: American Pro Trucker,PlayStation 2,6,2001
187 Ride or Die,PlayStation 2,5,2005
